vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
A,B,250,125,10,8,False,,8,4,238,0,0,6,0,0,1,0,1,1,3,0,0
A,B,168,85,10,9,False,,6,4,155,0,0,7,0,0,1,2,1,2,6,0,0
A,B,240,120,10,8,False,B,11,3,226,0,0,4,0,0,0,0,0,2,2,1,0
B,B,185,93,7,10,False,A,8,6,171,0,0,7,2,1,0,1,0,1,3,1,0
A,B,122,61,10,6,False,,9,4,109,0,0,6,0,0,1,1,1,0,3,0,1
B,A,246,123,9,10,False,,8,6,232,0,0,9,1,0,0,0,0,2,2,0,0
B,B,236,119,8,10,False,A,8,2,223,0,0,8,1,0,1,1,1,2,5,1,0
B,B,196,99,9,11,False,,6,7,181,0,0,4,1,0,1,2,2,0,5,0,0
A,B,190,96,10,8,False,B,6,7,177,0,0,9,3,0,0,1,0,4,5,1,0
A,B,238,119,10,9,False,B,8,9,221,0,0,7,0,0,0,0,2,0,2,1,0
B,A,214,107,8,10,False,,9,4,201,0,0,8,0,2,2,0,0,0,4,0,0
B,A,180,90,7,10,False,B,9,5,166,0,0,8,0,1,1,0,0,1,3,1,0
A,A,185,93,10,3,False,,7,4,174,0,0,5,1,1,1,0,1,2,5,0,0
A,B,214,107,10,8,False,,7,4,203,0,0,10,2,2,1,0,1,0,4,0,0
A,A,165,83,10,4,False,,9,1,153,0,0,7,0,2,1,1,0,0,4,0,0
B,A,216,108,5,10,False,,11,1,203,0,0,4,1,0,0,1,1,0,2,0,0
B,A,128,65,7,10,False,,11,3,114,0,0,3,1,0,0,1,0,2,3,0,0
B,B,223,112,9,10,False,,11,2,209,0,0,6,2,0,1,1,0,0,2,0,0
A,B,146,73,10,8,False,,6,2,135,0,0,10,1,0,1,3,1,0,5,0,0
B,A,128,64,3,10,False,,9,5,114,0,0,4,1,1,0,1,0,1,3,0,0
A,A,127,64,10,2,False,,8,4,115,0,0,8,1,2,2,1,0,2,7,0,0
A,B,216,108,10,9,False,,8,6,202,0,0,5,0,0,1,1,1,0,3,0,0
B,A,214,107,9,10,False,,8,3,203,0,0,2,1,2,1,0,1,0,4,0,0
B,A,230,115,7,10,False,,9,3,218,0,0,6,1,0,0,1,0,2,3,0,0
B,B,253,127,8,10,False,,10,3,240,0,0,4,1,1,0,0,0,1,2,0,0
B,B,228,115,8,10,False,,6,5,213,1,2,5,0,1,0,1,0,0,3,0,0
A,A,217,109,10,8,False,,10,4,202,0,0,4,0,1,0,1,1,0,3,0,0
B,A,176,88,6,10,False,,10,2,164,0,0,5,0,0,0,2,0,2,4,0,0
A,A,166,84,10,9,False,,9,2,150,0,0,9,0,0,1,2,2,0,5,0,0
B,B,213,107,7,10,False,A,5,4,201,0,0,7,1,0,1,1,3,0,5,1,0
B,A,182,91,8,10,False,,6,5,167,0,0,5,2,1,1,2,0,1,5,0,0
A,B,192,96,10,6,False,A,5,5,181,0,0,7,1,2,1,1,1,0,5,1,0
B,B,171,86,7,10,False,,6,1,163,0,0,5,1,2,3,1,1,0,7,0,0
A,A,223,112,10,5,False,B,5,2,216,0,0,8,1,2,3,0,1,1,7,1,0
B,A,100,50,4,10,False,,10,1,89,0,0,7,1,0,0,0,2,1,3,0,0
B,A,234,117,8,10,False,,4,10,220,0,0,7,0,0,3,0,1,1,5,0,0
B,A,88,44,3,10,False,,8,3,77,0,0,5,2,2,0,0,0,0,2,0,0
B,A,196,98,8,10,False,,9,5,182,0,0,7,0,1,1,1,1,0,4,0,0
A,A,101,51,10,4,False,,10,1,90,0,0,4,1,0,0,2,1,0,3,0,0
A,B,254,127,10,8,False,,6,4,244,0,0,6,2,0,1,2,0,1,4,0,0
B,A,184,92,7,10,False,,10,3,171,0,0,9,1,2,1,0,0,0,3,0,0
B,A,122,61,4,10,False,,9,2,111,0,0,6,2,1,0,1,0,1,3,0,0
B,A,206,103,8,10,False,B,3,7,196,0,0,7,1,0,3,0,0,0,3,1,0
A,A,163,82,10,3,False,,5,5,153,0,0,1,1,3,0,0,1,0,4,0,1
A,A,147,74,10,7,False,,9,5,133,0,0,9,2,0,1,0,2,1,4,0,0
A,A,153,77,10,9,False,,11,3,137,0,0,6,1,1,1,2,0,1,5,0,0
A,A,203,102,10,8,False,,7,3,189,0,0,10,0,0,0,2,3,2,7,0,0
B,B,259,130,8,10,False,,7,6,246,0,0,7,0,0,2,0,2,2,6,0,0
B,B,199,100,6,10,False,,7,8,178,0,0,5,0,0,0,1,1,1,3,0,0
A,B,130,65,10,3,False,,7,6,117,0,0,6,1,0,0,1,1,1,3,0,0
B,A,198,99,6,10,False,,7,2,189,0,0,7,0,1,1,2,1,1,6,0,0
A,B,224,112,10,8,True,,7,6,211,0,0,6,1,0,2,0,0,1,3,0,0
A,A,231,116,10,8,False,B,9,2,220,0,0,10,1,2,1,0,1,0,4,1,0
B,A,188,94,6,10,False,B,10,4,174,0,0,7,0,0,2,0,0,0,2,1,0
B,B,171,86,5,10,False,,7,6,157,0,0,4,1,1,0,2,1,1,5,0,0
B,A,208,104,9,10,False,,5,6,197,0,0,9,3,0,0,1,1,1,3,0,0
B,B,269,135,9,10,False,,11,2,256,0,0,1,1,0,0,0,0,1,1,0,0
A,A,223,112,10,9,False,,7,3,213,0,0,4,1,1,1,1,0,1,4,0,1
A,A,210,106,10,8,False,,9,3,196,0,0,8,0,1,1,1,1,0,4,0,0
A,B,266,133,10,9,False,,5,8,253,0,0,3,2,0,0,0,1,2,3,0,0
B,B,181,91,8,10,False,B,8,4,164,0,0,10,1,0,1,1,0,1,3,1,0
A,B,124,62,10,5,False,,6,3,115,0,0,4,1,1,0,0,2,2,5,0,0
A,B,208,104,10,6,False,,12,4,192,0,0,7,0,0,0,1,2,0,3,0,0
A,B,242,121,10,8,False,A,8,2,232,0,0,8,1,2,1,1,0,1,5,1,0
B,B,213,107,7,10,False,,8,6,196,0,0,8,0,0,1,1,1,1,4,0,0
A,A,233,117,10,9,False,,9,4,220,0,0,4,0,0,0,0,2,2,4,0,0
A,B,190,96,10,6,False,,7,6,175,0,0,8,1,1,0,2,1,0,4,0,0
A,B,222,111,10,9,False,,8,0,214,0,0,6,1,3,2,0,2,0,7,0,0
A,B,262,131,10,9,False,,8,6,248,0,0,3,1,2,2,0,0,0,4,0,0
A,A,225,113,10,6,False,,8,3,212,0,0,4,1,3,0,3,1,0,7,0,0
A,B,118,60,10,3,False,,5,5,108,0,0,3,2,1,0,1,1,2,5,0,0
A,A,213,107,10,7,False,,7,5,198,0,0,3,0,3,1,1,0,1,6,0,0
A,A,193,97,10,9,False,,11,2,180,0,0,9,2,2,0,0,0,1,3,0,0
B,B,207,104,8,10,False,,5,7,194,0,0,6,1,1,1,1,2,2,7,0,0
B,B,323,162,9,10,False,A,4,5,311,0,0,6,1,1,1,1,0,2,5,1,0
B,A,268,134,6,10,False,,5,4,259,0,0,4,1,0,1,0,1,4,6,0,0
B,A,176,88,6,10,False,,9,3,164,0,0,5,0,0,0,1,0,1,2,0,0
B,B,245,123,9,10,False,,10,5,230,0,0,9,0,0,2,0,1,0,3,0,0
B,B,233,117,8,10,False,,8,2,223,0,0,6,0,1,3,0,0,1,5,0,0
B,A,160,80,9,10,False,,9,2,148,0,0,8,2,1,0,2,1,0,4,0,0
B,B,213,107,7,10,False,,9,3,201,0,0,6,1,0,1,0,2,1,4,0,0
A,B,294,147,10,9,False,,9,2,283,0,0,6,1,2,1,0,1,0,4,0,0
B,B,279,140,9,10,False,B,8,4,267,0,0,7,1,0,2,1,1,0,4,1,0
B,B,225,113,9,10,False,,8,4,213,0,0,3,1,1,1,1,1,0,4,0,0
B,B,161,81,6,10,False,,7,3,151,0,0,7,1,1,1,0,2,0,4,0,0
A,A,164,83,10,6,False,,9,6,148,0,0,6,1,0,1,1,0,1,3,0,0
A,A,177,89,10,6,False,,4,7,166,0,0,4,1,2,1,0,0,0,3,0,0
B,B,127,64,5,10,False,,7,6,114,0,0,6,1,0,0,1,1,0,2,0,0
B,A,184,92,7,10,False,,9,5,170,0,0,7,1,1,1,0,0,0,2,0,0
B,A,272,136,8,10,False,B,10,3,259,0,0,8,1,1,0,0,0,0,1,1,0
B,B,223,112,9,10,False,,9,4,210,0,0,8,0,0,1,1,0,2,4,0,0
A,A,219,110,10,8,False,,8,7,204,0,0,5,0,1,0,0,1,0,2,0,0
B,B,133,67,4,10,False,,8,6,118,0,0,3,2,1,1,1,0,0,3,0,0
B,A,150,75,8,10,False,,10,3,137,0,0,7,1,0,1,1,0,0,2,0,0
A,B,230,115,10,6,False,,5,8,217,1,2,4,0,0,1,0,1,0,3,0,0
B,B,201,101,8,10,False,,5,6,187,0,0,5,0,0,1,1,1,1,4,0,0
A,A,187,94,10,8,False,A,9,1,177,0,0,4,2,0,0,0,1,1,2,1,0
A,B,270,135,10,9,False,,11,4,255,0,0,6,0,0,0,0,1,2,3,0,0
A,B,194,97,10,7,False,,9,3,182,0,0,7,0,0,2,1,1,0,4,0,0
A,B,194,97,10,8,False,,10,3,181,0,0,5,0,2,0,1,0,1,4,0,0
B,A,268,134,8,10,False,,6,4,258,1,2,4,0,1,1,0,0,0,3,0,0
A,B,320,160,10,9,False,,7,4,309,0,0,4,1,1,1,0,2,0,4,0,0
A,A,225,113,10,7,False,,4,5,216,0,0,5,1,2,1,0,0,3,6,0,1
B,B,257,129,9,10,False,A|B,8,4,245,0,0,7,0,0,0,0,1,2,3,2,0
B,B,213,107,8,10,False,,7,5,198,0,0,5,1,1,0,1,0,2,4,0,0
B,B,259,130,6,10,False,,6,3,248,0,0,5,1,1,1,0,3,1,6,0,0
B,A,176,88,8,10,False,,10,4,161,0,0,4,1,0,1,2,1,0,4,0,0
A,A,209,105,10,6,False,,8,5,194,0,0,6,0,1,1,1,1,0,4,0,0
A,A,165,83,10,5,False,,4,5,156,1,2,8,1,0,1,0,2,0,4,0,0
A,B,158,79,10,6,False,,9,6,143,0,0,6,1,1,1,1,1,0,4,0,0
B,A,224,112,7,10,False,,8,2,214,0,0,6,0,2,1,0,2,1,6,0,0
A,A,241,121,10,8,False,,10,1,229,0,0,4,1,1,1,1,0,1,4,0,0
B,A,180,91,6,10,False,,6,2,172,0,0,4,1,2,1,1,1,0,5,0,1
A,B,162,82,10,9,False,,10,2,150,0,0,6,1,0,2,1,2,1,6,0,0
A,B,150,75,10,5,False,,8,3,139,0,0,6,1,1,0,2,2,0,5,0,0
A,B,152,76,10,8,False,,9,3,140,0,0,6,1,1,0,1,0,1,3,0,0
A,A,191,96,10,7,False,,9,5,175,0,0,7,1,0,1,2,0,0,3,0,0
B,B,241,121,8,10,False,,8,3,228,0,0,7,1,0,1,1,0,1,3,0,0
A,B,126,63,10,2,False,A|B,6,4,116,0,0,4,1,0,0,0,0,2,2,2,1
B,A,206,104,8,10,False,A|B,6,3,197,0,0,5,0,2,1,2,0,2,7,2,0
A,B,176,88,10,7,False,,7,8,161,0,0,7,0,0,0,1,1,0,2,0,0
A,A,317,159,10,9,False,,7,2,308,0,0,3,0,1,2,0,3,1,7,0,0
A,A,211,106,10,8,False,A,10,2,197,0,0,7,1,0,0,1,1,1,3,1,0
B,A,234,117,7,10,False,,8,6,220,0,0,5,0,2,1,0,0,0,3,0,0
