vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,B,178,90,7,10,False,B,4,4,168,0,0,8,1,0,2,3,0,1,6,1,0
B,A,296,148,8,10,False,B,6,5,285,0,0,11,0,0,1,0,2,1,4,1,0
B,B,131,66,9,10,False,B,9,5,114,0,0,5,1,2,0,3,0,0,5,1,0
B,B,172,87,9,10,False,,11,4,155,0,0,7,0,0,0,1,1,1,3,0,0
B,B,215,108,9,10,False,,12,2,199,0,0,5,1,1,0,0,0,0,1,0,0
A,B,154,77,10,6,False,,6,6,142,0,0,4,2,1,0,1,1,2,5,0,0
B,B,215,108,8,10,False,,9,3,202,0,0,4,0,1,0,1,0,1,3,0,0
A,A,100,51,10,4,False,,8,2,89,0,0,4,1,1,1,2,1,0,5,0,0
B,A,192,96,5,10,False,,11,2,179,1,2,5,1,0,1,2,0,0,4,0,0
B,A,222,111,6,10,False,,4,4,214,0,0,8,0,2,2,1,1,1,7,0,0
A,B,140,71,10,4,False,,9,4,127,0,0,5,0,0,2,1,0,0,3,0,0
B,A,162,81,8,10,False,,4,7,151,0,0,2,1,0,0,1,2,0,3,0,0
B,B,189,95,9,10,False,,6,6,172,0,0,4,0,1,0,2,2,0,5,0,0
A,A,221,111,10,7,False,,9,3,209,0,0,6,2,1,0,0,1,1,3,0,0
A,B,80,40,10,0,False,,6,3,71,0,0,3,1,0,0,1,0,0,1,0,0
B,A,252,126,9,10,False,,8,5,239,0,0,5,0,1,0,0,1,1,3,0,0
B,A,272,136,8,10,False,,4,10,258,0,0,8,1,1,0,0,0,2,3,0,0
B,A,242,121,6,11,False,,5,5,232,0,0,4,2,2,1,1,0,1,5,0,0
